Region,Latitude,Longitude,Soil_Type,Soil_pH,Organic_Carbon,Clay_pct,Silt_pct,Sand_pct,Avg_Temp_C,Annual_Rainfall_mm,Humidity_pct,Sunlight_hours,Irrigation_Available,Water_Source,Elevation_m,Past_Crop,Yield_kg_per_ha,Suitable_Crop,Best_Planting_Month,Growing_Duration_days
Nuwara_Eliya,7.12,81.19,Clay,6.6,1.12,30.7,37.4,52,25.9,1754,70,6.2,No,Well,1400.6,Groundnut,2165,Paddy,May,120
Anuradhapura,6.37,80.84,Clay,6,0.73,21.4,38.8,38.2,24.1,1969,73,6.1,No,River,57.3,Chilli,1887,Coconut,April,110
Ampara,8.75,80.04,Loam,6.3,1.69,38.5,31,46.8,21.8,1413,84,7.7,Yes,River,1155,Maize,3864,Maize,June,150
Anuradhapura,6.65,81.48,Sandy,7.1,0.76,21.1,36.1,32.7,26.6,1236,75,8.6,Yes,River,1085.5,Paddy,3163,Maize,June,150
Nuwara_Eliya,6.35,80.55,Clay,5.6,1.82,22.8,43.7,35.2,29,1372,76,7.3,No,River,1446.1,Groundnut,4124,Paddy,May,365
Ampara,7.54,81.37,Clay,7.1,0.85,17.8,44.5,59.6,23.4,1235,62,7.1,Yes,Well,1396.4,Tea,3131,Tea,October,120
Hambantota,9,81.3,Silty,6,0.92,27,48.7,29.9,22.6,1182,64,5.6,Yes,Well,1144.5,Chilli,3541,Tea,October,80
Kandy,8.81,80.99,Silty,5.8,1.32,27.6,44.7,40.3,26.3,1553,68,7.9,Yes,River,783,Paddy,3895,Paddy,May,365
Hambantota,6.11,80.74,Clay,5.7,1.66,30.4,36.9,53.8,21.9,917,73,7.8,Yes,Rainfed,310.4,Tea,1003,Onion,May,365
Anuradhapura,7.68,81.66,Loam,5.6,0.88,36.3,25.4,29.6,28,1186,79,8.9,No,Well,820.1,Paddy,3671,Maize,June,115
Anuradhapura,7.94,80.08,Laterite,6.5,1.27,42.2,23,36.6,27.3,1628,68,6.2,Yes,Well,1149.2,Chilli,3071,Paddy,May,150
Ampara,8.41,81.18,Laterite,5.9,1.33,19.1,21.6,44.6,21,935,69,8,No,Rainfed,1344,Coconut,1057,Tea,October,80
Ampara,8.44,80.16,Clay,7.5,0.98,16.6,40,39.2,20.4,992,66,6.7,No,Well,1185.6,Onion,2682,Tea,October,110
Nuwara_Eliya,7.32,80.44,Clay,6.6,0.85,15.6,44.2,38.4,27.4,1223,66,7.2,Yes,Rainfed,296.9,Coconut,1105,Paddy,May,110
Jaffna,8.09,80.39,Clay,5.8,1.79,19.3,35.3,34.5,23.5,1866,84,8.3,No,Rainfed,901.5,Onion,3523,Coconut,April,115
Hambantota,7.78,81.6,Loam,6.9,1.35,34.7,21.6,43.5,21,1741,76,5.9,Yes,River,501.6,Groundnut,2822,Tea,October,120
Ampara,9.35,81.64,Silty,7.3,0.72,36.8,36.1,45,29.1,924,64,6.4,No,Well,18.8,Tea,4328,Vegetables,March,110
Galle,7.97,80.15,Clay,7,1.74,38.6,48.1,46.1,23.8,1452,78,8.1,No,Rainfed,304.3,Onion,1478,Chilli,April,120
Nuwara_Eliya,7.62,79.84,Clay,5.7,1.98,22.3,37.9,22.8,25.5,1202,78,7.3,Yes,River,174.3,Coconut,3042,Paddy,May,150
Ratnapura,7.48,81.17,Sandy,7.3,1.49,24.2,44.3,45.2,22.8,1614,77,5.4,No,Well,1264.9,Chilli,1583,Tea,October,100
Anuradhapura,8.13,80.59,Loam,7.1,1.35,29.5,44,58.1,27.5,1694,63,6.7,Yes,River,391.5,Tea,3072,Vegetables,March,365
Nuwara_Eliya,9.04,79.97,Clay,5.8,1.84,16.9,48,41.6,23.6,1849,70,7.3,No,River,430.6,Paddy,3474,Coconut,April,180
Hambantota,8,81.1,Sandy,5.6,1.94,33.3,43.1,48.6,31.6,1423,63,8.6,No,Rainfed,1440.1,Onion,3473,Groundnut,June,80
Ampara,8.48,80.84,Laterite,6.6,1.68,44.5,42.4,42.3,28.4,1994,80,5.8,Yes,Well,571.7,Vegetables,3816,Paddy,May,90
Anuradhapura,8.78,81.66,Clay,5.8,1.28,25.8,27,54.2,21.6,1978,76,8.2,Yes,River,19.3,Onion,3958,Coconut,April,90
Kandy,7.93,80.23,Clay,7.2,1.47,37.6,21.8,57.2,25,1870,73,5.5,Yes,Rainfed,429.3,Maize,1086,Chilli,April,365
Nuwara_Eliya,7.56,80.57,Sandy,6.2,1.61,30,35.5,27.4,24.6,1532,69,6,No,Rainfed,183.4,Onion,2070,Maize,June,365
Kurunegala,9.32,80.83,Loam,7.3,0.95,18.8,23.7,37.5,26.4,1338,65,6,Yes,River,158.7,Onion,3342,Maize,June,365
Anuradhapura,7.53,81.3,Clay,6.6,1.28,32.5,48.9,35.7,30.1,1301,63,8.5,Yes,River,120.8,Paddy,2645,Maize,June,80
Hambantota,7.7,80.84,Laterite,5.9,1.78,24,28.7,36.2,27,913,84,5.8,Yes,Rainfed,891.9,Chilli,1506,Coconut,April,150
Polonnaruwa,9.76,80.96,Clay,5.8,1.55,16,45.6,25,20.7,1174,65,8.1,Yes,River,288.1,Groundnut,2845,Tea,October,100
Galle,5.9,80.23,Laterite,6.7,1.23,34,31.6,52.5,27.9,1691,61,6.8,No,River,545.1,Tea,2308,Vegetables,March,365
Matara,6.62,81.41,Silty,7,1.56,40.8,29.7,21.4,20.1,1564,84,9,No,Well,1293.7,Paddy,2243,Tea,October,180
Jaffna,7.4,80.61,Silty,7.1,0.85,25.3,48.1,41.1,29.4,1908,74,8.4,No,Rainfed,639.4,Tea,3796,Chilli,April,100
Matara,9.54,80.07,Laterite,6.1,1.22,26.7,30.9,46.5,28,955,80,8,No,River,1374,Vegetables,2308,Paddy,May,80
Hambantota,6.17,81.06,Loam,5.9,1.73,41.7,31.7,28.3,23.7,1071,61,8.5,No,Rainfed,749.4,Coconut,898,Maize,June,365
Ratnapura,5.94,80.21,Clay,5.5,0.99,39.4,23.2,56.2,23.5,1768,74,7.5,No,Well,601.3,Maize,1015,Onion,May,80
Ratnapura,6.11,79.99,Clay,6.9,0.94,36.4,40.1,53.5,29.6,1294,70,8.4,Yes,Rainfed,1126.8,Vegetables,3968,Paddy,May,100
Polonnaruwa,6.25,81.44,Silty,5.7,1.94,22.5,28.7,38.8,29.4,1030,79,6,No,Rainfed,114.4,Chilli,4354,Paddy,May,120
Jaffna,6.05,80.67,Laterite,6.3,0.97,42.3,37.6,36.4,24.2,1996,61,5.4,Yes,Rainfed,138.8,Paddy,3347,Onion,May,120
Kurunegala,7.77,81.22,Clay,6.7,1.04,19.6,37.7,29.5,23.6,1766,70,7.5,Yes,Well,979.7,Maize,2148,Chilli,April,110
Polonnaruwa,8.16,80.35,Clay,7.4,1.96,33.8,41.6,49.2,26.7,1350,80,6.7,Yes,Well,733,Onion,4273,Paddy,May,90
Monaragala,6.96,81.3,Loam,6.1,1.66,15.9,42.4,25.3,20.1,1806,73,6.7,Yes,Rainfed,1186.7,Chilli,3252,Tea,October,120
Matara,7.45,80.01,Sandy,6,1.61,34.3,35.4,47.2,21,1649,74,7.1,No,Rainfed,1374.8,Vegetables,3924,Tea,October,115
Polonnaruwa,6.26,80.48,Silty,6.8,1.81,23.3,29.9,53.7,21.5,1769,62,6.4,No,Well,585.6,Chilli,3634,Groundnut,June,120
Matara,7.21,81.66,Silty,6.7,0.85,28.5,45.1,29.1,22.2,1797,63,7.5,No,River,896.6,Groundnut,2203,Maize,June,150
Anuradhapura,7.94,81.31,Sandy,6.2,1.62,25.4,29.3,54.7,26.1,993,77,5.1,Yes,Well,753.5,Vegetables,2571,Chilli,April,365
Ratnapura,8.76,80.74,Clay,7.4,1.35,20.2,35.2,21.3,31.9,1585,77,8.9,No,Rainfed,1472.5,Vegetables,1489,Paddy,May,150
Anuradhapura,5.91,80.45,Loam,7.2,1.78,33.7,32,56.5,27.8,907,84,8.7,No,River,1247.5,Coconut,1880,Chilli,April,110
Galle,7.72,81.46,Loam,5.9,1.36,41.5,45.7,24.7,20.7,948,78,8.7,No,River,1368,Groundnut,3679,Tea,October,115
Monaragala,7.06,80.84,Silty,6,1.51,43.8,33,45.8,26.3,1894,72,6.5,No,River,385.2,Groundnut,4108,Maize,June,120
Jaffna,9.23,81.24,Loam,6.5,1.32,20.8,31.6,30,26,1480,81,7.1,No,Well,1159.9,Tea,3481,Maize,June,365
Kurunegala,8.69,81.23,Sandy,7,1.32,36.5,40.7,53.5,21.7,1709,63,8.8,No,Well,401.9,Tea,2521,Onion,May,115
Matara,8.2,79.83,Clay,5.6,1.7,34.9,38.1,40.5,31,1822,71,8.6,Yes,Well,317.1,Onion,1120,Maize,June,115
Kurunegala,6.98,80.04,Sandy,6.9,1.52,25.3,23.2,25.4,25.3,1945,67,8.2,Yes,Well,1416.7,Maize,1011,Tea,October,150
Matara,9.45,81.05,Laterite,6.8,1.52,15.6,35.2,42.8,31.9,1856,63,6.6,No,Rainfed,33.9,Coconut,2185,Vegetables,March,90
Hambantota,6.08,80.11,Silty,6,1.29,35.7,42.1,36.3,25,1432,79,7.3,Yes,River,1448.3,Vegetables,2516,Paddy,May,100
Polonnaruwa,6.33,80.29,Loam,6.9,1.39,43.4,49.8,46.5,27.3,1270,73,8.2,Yes,Rainfed,228.1,Chilli,3054,Maize,June,90
Galle,7.43,81.6,Laterite,7.4,1.67,34,38.9,55.3,21.3,1070,74,6.1,No,Well,1230.1,Onion,824,Tea,October,90
Ratnapura,6.39,80.86,Loam,5.6,1.77,28.1,31.1,36.4,25.5,1340,70,7.5,Yes,Well,417.5,Coconut,4462,Maize,June,100
Ampara,9.63,81.23,Clay,6.1,1.61,30.8,26.8,31.6,22.9,1303,72,8.3,No,Rainfed,529.3,Coconut,2147,Onion,May,120
Matara,9.01,80.86,Clay,6.4,1.9,21,46.2,20.6,30,1516,63,7.8,Yes,River,329.1,Vegetables,3938,Paddy,May,115
Kurunegala,6.91,80.85,Clay,7.3,1.77,37.5,44.4,43,29.4,1632,77,6.9,No,River,880.3,Vegetables,2779,Paddy,May,115
Galle,8.2,79.98,Loam,7.4,1.43,37.4,27,36.1,29.9,1976,71,7.3,Yes,Well,525.4,Maize,1283,Coconut,April,90
Kandy,9.73,80.45,Laterite,6.4,1.57,19.4,26,35,28.7,1701,80,9,Yes,Well,987.8,Tea,3751,Coconut,April,90
Kandy,9.35,80.34,Clay,7,1.9,41.3,41.5,27.3,30,1608,65,7.4,Yes,Well,28.4,Vegetables,3426,Paddy,May,80
Anuradhapura,8.24,80.54,Laterite,6.6,1.5,23.1,29.4,37.2,22.4,1269,65,8.1,Yes,Well,101.2,Coconut,2752,Tea,October,100
Ratnapura,9.42,81.32,Loam,6.6,1.77,44.5,29.2,59.4,25.4,938,76,7.9,No,River,154,Coconut,2704,Chilli,April,150
Ampara,9.76,80.51,Laterite,6.1,1.6,26.5,24.6,31.9,28.3,1217,81,7.8,Yes,Rainfed,631.4,Coconut,1124,Tea,October,115
Hambantota,8.8,80.66,Loam,5.9,1.42,20.3,27.9,44,27.6,1745,72,7.9,No,River,1223.1,Paddy,3227,Groundnut,June,150
Kurunegala,6.15,80.56,Loam,6.1,1.01,25.6,32.8,51.1,28.6,1126,78,6.8,No,Rainfed,1332.8,Coconut,4172,Chilli,April,365
Ampara,7.47,79.98,Silty,6.6,1.25,28.2,42,50,22.7,1683,85,6.9,Yes,Well,371,Coconut,1145,Tea,October,120
Polonnaruwa,9.17,80.64,Loam,5.6,1.96,17.1,30.1,33.2,21.2,1538,85,6.9,Yes,Well,863.7,Vegetables,1775,Maize,June,90
Polonnaruwa,6.8,80.17,Loam,7.3,1.56,32.3,29.9,44.4,31,1089,79,5.1,No,Rainfed,1153.7,Chilli,4139,Chilli,April,80
Kurunegala,9.14,80.15,Sandy,5.8,1.43,32.9,28.5,54.9,26.7,1188,78,6,Yes,Well,436.8,Groundnut,1852,Maize,June,80
Jaffna,6.37,79.98,Clay,5.9,1.91,37.2,34.3,20.6,21.8,1446,66,5.6,No,River,616.5,Paddy,3220,Paddy,May,365
Hambantota,6.08,80.48,Silty,6.5,1.46,15.9,25.4,37.4,29.5,1360,81,8.5,Yes,Well,788.3,Coconut,2779,Paddy,May,120
Galle,7.4,81.24,Silty,6.9,1.38,31.2,34.6,29,31,1756,70,6.1,No,Well,206.6,Groundnut,3006,Coconut,April,120
Matara,6.04,80.33,Silty,5.7,1.69,16.6,41.1,35.5,22,1708,84,5.6,Yes,Well,43.8,Coconut,2338,Coconut,April,110
Jaffna,9.63,80.39,Sandy,6.1,1.63,36,20.9,36.6,29.8,1532,62,5.5,Yes,Well,233.4,Maize,1910,Onion,May,90
Matara,9.12,81.02,Loam,7.4,0.95,16.7,20.3,49.9,31.2,1805,71,7.8,No,River,942.1,Vegetables,980,Coconut,April,100
Matara,9.02,80.17,Clay,6,1.31,42.4,22.3,23.8,31.3,1519,74,5,No,Rainfed,115.1,Vegetables,3554,Paddy,May,100
Jaffna,8.36,81.5,Laterite,6.1,1.31,36.1,36.1,40.5,31,1961,70,6.9,No,Well,288.6,Maize,3561,Tea,October,180
Anuradhapura,6.74,80.79,Loam,7.2,1.19,30.2,45.6,42.6,26.6,1139,65,5.5,Yes,Well,510.1,Groundnut,3282,Maize,June,120
Kandy,7.92,80.65,Sandy,5.6,1.37,28.2,20.1,39.8,24.3,1686,75,8.4,Yes,River,121.4,Vegetables,3181,Tea,October,150
Matara,8.23,80.86,Loam,6.4,1.24,18.9,48.1,49.3,20.1,1307,79,8.8,Yes,River,291.6,Paddy,1702,Maize,June,365
Jaffna,7.95,80.12,Loam,6.3,0.96,23.7,23.2,35.4,20.7,1207,76,8.8,Yes,River,1367.3,Chilli,883,Maize,June,80
Jaffna,6.91,80.97,Sandy,6.1,1.24,41.1,45.3,57.8,25.1,1098,66,6.8,No,Well,33.9,Paddy,3792,Maize,June,90
Monaragala,7.91,80.49,Silty,6.1,0.79,42.1,34.5,39.3,24.8,1508,78,7.6,No,Rainfed,981.9,Paddy,2617,Maize,June,365
Ampara,7.82,81.5,Silty,5.7,1.45,15,39.8,42.8,22.2,1137,66,7.4,Yes,River,579.7,Maize,1935,Onion,May,115
Nuwara_Eliya,9.79,80.12,Clay,6.1,1.81,32.8,35.3,53,24.7,1120,64,6.4,Yes,River,1010.6,Maize,1177,Tea,October,110
Anuradhapura,9.4,80.76,Clay,5.6,1.64,36.6,34.3,31,22.1,1990,77,6.8,Yes,River,885.1,Chilli,1032,Onion,May,80
Ratnapura,7.71,80.94,Silty,7.1,1.17,33.6,45,23,30.2,1782,81,5.3,No,Rainfed,339.1,Onion,2091,Maize,June,365
Nuwara_Eliya,8.33,79.86,Laterite,6.3,0.81,17.5,42.7,48.3,23.6,1723,72,8.2,No,Well,1271.6,Onion,3778,Tea,October,365
Ampara,8.82,80.49,Loam,6.4,0.96,21.5,34.5,39.3,27.2,1773,73,6,Yes,Well,740.5,Onion,4199,Groundnut,June,110
Ampara,6.04,81.19,Laterite,7.3,1.41,22.5,23.3,55.9,26,1966,68,6.8,No,Well,1234.7,Coconut,4118,Chilli,April,365
Ampara,9.39,81.36,Loam,6.8,0.97,40,23.5,59.3,20.6,1531,72,6.9,Yes,River,612,Chilli,4204,Maize,June,80
Nuwara_Eliya,9.25,80.4,Silty,5.5,1.41,28.9,44,36,31.3,1142,63,7.2,Yes,Well,1477.1,Coconut,4159,Maize,June,115
Kurunegala,7.68,81.32,Clay,7.4,1,29.6,35.9,36.6,26.3,1848,84,8.3,No,River,1156.9,Groundnut,2751,Coconut,April,80
Kandy,7.43,81.64,Clay,6,1.8,43,34.4,36.3,23.9,1717,80,7.8,No,Rainfed,1449.1,Groundnut,1612,Tea,October,110
Jaffna,6.96,81.43,Laterite,5.7,1.22,34.1,40.4,33,21.9,1356,77,7.7,No,Rainfed,773.9,Tea,3753,Vegetables,March,115
Kandy,7.76,80.02,Clay,7,1.02,42,45.8,51.3,24.1,1421,73,7.1,No,Well,713.2,Onion,1591,Paddy,May,100
Hambantota,6.07,81.21,Silty,6.5,1.76,28.7,38.9,50.4,20.2,1352,80,5.4,Yes,River,1134.4,Maize,1789,Tea,October,90
Kurunegala,9.22,80.41,Laterite,6.4,1.15,19.5,42.9,39.1,24.4,1923,72,6.6,No,River,1321,Tea,1663,Tea,October,120
Ratnapura,6.04,81.68,Loam,6,0.84,42.9,43,21.8,26.4,1278,67,8.8,No,Well,1446.4,Tea,2705,Maize,June,100
Kandy,7.18,80.72,Clay,6.6,1.44,28.8,30.7,32.4,30.5,1960,64,9,No,Rainfed,490.2,Maize,1991,Tea,October,80
Polonnaruwa,9.53,80.03,Sandy,6,1.46,20.4,28.2,31.7,28.2,1901,76,7.9,No,Rainfed,1199.1,Vegetables,1370,Chilli,April,115
Ampara,8.77,81.18,Clay,7.3,1.63,24.1,44,52.4,21.3,1594,83,5.9,Yes,Rainfed,319.9,Tea,2477,Maize,June,90
Matara,7,80.41,Loam,5.9,1.01,16.5,31.3,23.5,21.8,1538,64,5.4,Yes,Rainfed,820.6,Vegetables,4033,Maize,June,90
Hambantota,6.89,81.69,Laterite,7.3,1.28,29,47.1,52.2,25.1,1307,65,6.7,No,Rainfed,273.9,Onion,2911,Onion,May,110
Anuradhapura,5.92,81.66,Loam,6.6,1.07,40.6,22.1,46.8,22.3,920,71,8.4,No,Well,524.4,Paddy,4050,Chilli,April,110
Ratnapura,8.61,81.05,Sandy,7.2,0.81,43,21.7,49.3,20.3,1040,80,7.9,Yes,Well,1397.4,Vegetables,1525,Maize,June,110
Hambantota,6.09,80.05,Silty,6.9,1.84,43,47.8,37.3,29.7,1730,67,8.5,Yes,Well,223.4,Coconut,1418,Paddy,May,150
Ampara,7.98,81.11,Clay,6.9,1.65,18.8,39.5,47.2,20.2,1419,66,7.5,No,Rainfed,950.4,Onion,2930,Chilli,April,80
Matara,9.65,79.98,Laterite,6.1,1.09,26.5,31.4,44.4,30,1065,75,5.5,Yes,Rainfed,891.5,Vegetables,2514,Paddy,May,180
Kurunegala,6.33,79.86,Silty,6,1.48,15.8,42.7,50.8,21.7,1190,73,5.5,Yes,Well,185.5,Chilli,3243,Vegetables,March,365
Matara,9.39,81.36,Loam,5.9,0.96,40.7,40.2,37.9,31.7,1943,62,5.2,Yes,Well,492.3,Maize,3740,Coconut,April,120
Nuwara_Eliya,9.77,80.2,Laterite,7.2,1.86,25.8,35.9,38.9,27.2,1304,62,7.3,Yes,Rainfed,846.7,Paddy,3580,Paddy,May,110
Matara,6.14,80.52,Silty,7.1,0.85,33.9,23,45.7,28.8,1898,76,6,No,River,284.8,Groundnut,4286,Onion,May,120
Nuwara_Eliya,9.34,81.65,Laterite,6.4,0.7,36.4,44.4,24.3,21.3,1235,72,7.9,Yes,Well,1201.9,Chilli,2274,Tea,October,150
Kurunegala,7.91,80.44,Sandy,5.8,1.35,27.9,46,37.4,30.3,1498,84,7.7,Yes,Rainfed,1458.4,Chilli,1564,Groundnut,June,120
Galle,9.44,80.36,Sandy,6.3,1.46,24.2,25.2,58.9,30.1,923,77,6.3,No,Rainfed,326.1,Vegetables,2838,Chilli,April,80
Ampara,8.13,81.54,Clay,6.7,1.45,43.9,45.5,21.5,27.8,1474,60,5.7,No,Well,284.4,Chilli,1210,Paddy,May,115
Nuwara_Eliya,8.48,80.01,Clay,6.4,0.77,43.9,46.3,32.6,26,1601,72,5.4,No,River,685.1,Tea,1869,Paddy,May,180
Anuradhapura,8.02,81.24,Sandy,7.1,1.11,23.7,36.5,32.6,28.7,1158,70,7.9,Yes,Rainfed,1122.9,Tea,1569,Chilli,April,180
Matara,9.27,81.68,Laterite,7.5,1.35,29.4,39.7,45.3,20.1,1537,63,6.8,No,Well,426,Tea,2267,Chilli,April,365
Matara,8.76,81.51,Sandy,5.9,0.98,44.2,31.5,24.2,27.1,1612,83,6.3,Yes,Rainfed,34.7,Onion,1212,Chilli,April,110
Anuradhapura,7.93,81.04,Clay,6.4,1.83,15.1,28.5,45.1,30.2,1656,80,8.4,No,Rainfed,814.1,Vegetables,918,Groundnut,June,120
Polonnaruwa,9.29,80.4,Sandy,6.4,0.81,27.4,41.7,23.8,24.3,1754,66,7.4,Yes,Rainfed,1435.1,Tea,3230,Tea,October,150
Jaffna,6.86,80.28,Sandy,6.1,1.33,18,45.9,23.8,21.3,1242,66,7.1,No,Rainfed,590,Paddy,3058,Maize,June,115
Galle,6.51,81.36,Laterite,5.9,1.6,30.3,39.6,49.1,25.1,1525,61,8,No,River,633.1,Tea,3421,Chilli,April,180
Ratnapura,6.53,81.47,Silty,5.6,1.04,15.7,35.3,33,28.7,1980,67,8.3,Yes,Well,1453.5,Vegetables,3243,Tea,October,100
Nuwara_Eliya,7.2,80.8,Clay,7.3,1.51,27.2,24.8,59.1,21.3,1888,75,7.7,No,Well,1043.4,Maize,1223,Tea,October,180
Anuradhapura,6.83,80.26,Laterite,6.3,1.78,21.6,21.6,21.5,22.5,1948,71,6.8,No,Well,1080.2,Chilli,1877,Tea,October,115
Kurunegala,9.53,80.01,Sandy,6.5,0.95,31,33.4,37.8,21.8,1325,84,6.5,No,Well,846.2,Paddy,1279,Maize,June,80
Nuwara_Eliya,6.31,79.97,Sandy,7.3,1.89,44.9,21.5,24.5,29.6,1766,61,8.1,No,Well,1462,Vegetables,3919,Vegetables,March,120
Jaffna,8.63,81.17,Silty,7.1,1.42,39,37.1,34.1,20.8,1582,75,7.1,No,River,1034.9,Groundnut,3564,Tea,October,90
Kurunegala,6.64,80.6,Clay,5.8,1.09,40.4,31.5,59.9,28.2,991,81,7.8,Yes,Rainfed,1343.1,Tea,1546,Vegetables,March,150
Hambantota,9.34,81.52,Clay,6.6,1.26,34.1,42.7,55.6,24.4,1806,72,8.6,Yes,Rainfed,1050.6,Groundnut,2063,Tea,October,365
Ampara,9.65,81.21,Loam,6.4,1.11,16.2,29.2,21.9,29.1,1645,60,8.7,No,Well,1104,Chilli,4376,Coconut,April,100
Matara,7.72,80.16,Clay,7.1,1.64,21.2,37.8,42.5,31.6,1119,66,6.1,No,Rainfed,439.2,Paddy,2998,Vegetables,March,110
Hambantota,9.33,80.97,Silty,6.9,1.74,42.8,36.1,45.9,21.4,988,68,5.8,Yes,Rainfed,458.7,Chilli,3764,Coconut,April,110
Nuwara_Eliya,5.92,80.63,Loam,6.9,1.78,26,20.1,28.4,23.8,1821,84,6,Yes,Rainfed,1175.6,Groundnut,1779,Tea,October,110
Jaffna,9.1,80.9,Loam,6.2,1.98,18.1,22.2,25.8,29.7,987,83,8,No,Well,448.6,Onion,1577,Chilli,April,100
Galle,6.79,81.2,Sandy,7.1,1.73,36.1,28.7,56.2,23.2,1000,84,6.5,Yes,Well,846.3,Paddy,3700,Maize,June,115
Ampara,9.44,81.33,Sandy,5.6,1.48,24,46.5,58.8,22.6,1370,81,5.7,No,River,377.8,Coconut,3338,Maize,June,365
Nuwara_Eliya,5.9,81.4,Clay,5.8,1.14,23.1,24.4,59.7,29.9,1048,69,5.4,No,Well,1226.4,Onion,3320,Paddy,May,180
Anuradhapura,8.07,80.28,Loam,6.2,1.41,44.9,41.3,51.6,31.8,1905,83,6.3,No,River,170.2,Paddy,2845,Coconut,April,90
Kandy,8.85,79.86,Sandy,5.7,0.75,40.7,49.2,46.5,26.7,1417,85,5.5,No,Well,1245,Tea,2885,Maize,June,365
Nuwara_Eliya,6.91,81.2,Silty,6,1.67,27.2,43.7,33.8,23.3,1526,69,5.6,Yes,Rainfed,906.1,Vegetables,3522,Maize,June,90
Ampara,6.65,80,Sandy,7.2,1.28,44.4,27.3,26.9,24.8,1921,67,7.7,Yes,River,284.4,Groundnut,1799,Onion,May,150
Matara,6.23,80.4,Sandy,7.4,0.73,34.5,47.3,23.2,22,1483,74,5.1,Yes,River,815.3,Chilli,2105,Maize,June,115
Matara,7.17,79.81,Loam,6.1,0.78,37.3,22.8,47.7,29.1,1289,65,5.5,No,River,427.3,Vegetables,4025,Groundnut,June,150
Nuwara_Eliya,8.08,81.1,Loam,6,1.2,15.9,34,51.4,29.3,1777,61,8.4,Yes,Well,488.6,Chilli,1943,Coconut,April,115
Kurunegala,6.35,80.12,Laterite,6.1,1.46,18.6,46.6,53.1,30.5,1387,84,8.4,No,River,530.5,Chilli,2821,Maize,June,120
Kandy,7.37,81.05,Silty,6.1,1.3,34,39.2,56.6,20.3,1250,83,6.3,No,Well,99.7,Maize,3400,Vegetables,March,180
Anuradhapura,5.94,81.68,Loam,5.6,1.5,42,32.4,55.2,26.7,1696,64,5.4,Yes,River,1479,Maize,4500,Maize,June,80
Nuwara_Eliya,9.09,79.94,Clay,7.4,1.32,33.7,28.8,60,22.6,1782,70,7.8,No,Well,52.1,Tea,2411,Chilli,April,80
Kurunegala,6.4,79.95,Silty,5.9,1.56,19,31.3,29.8,24.1,1771,81,6.4,No,River,995.4,Coconut,2384,Onion,May,115
Matara,7.01,80.45,Silty,6.3,0.98,18.5,35.3,50.5,29.4,1975,77,5.2,No,Rainfed,560,Vegetables,3918,Chilli,April,80
Matara,5.97,81.45,Loam,5.5,0.85,40.3,29.6,43.5,22.3,1765,70,5.6,Yes,Rainfed,970.8,Maize,3780,Groundnut,June,100
Jaffna,7.59,80.21,Silty,7.2,1.48,19.2,49.1,30.4,27.7,1747,79,5.5,No,River,537.6,Paddy,3505,Paddy,May,365
Nuwara_Eliya,9.18,80.48,Loam,7,1.33,30.6,48,59.3,27.9,1843,82,7.4,Yes,Well,1012.3,Onion,2514,Chilli,April,150
Kandy,7.43,79.93,Sandy,7.4,0.73,16.1,46.1,55.9,31.4,900,83,8.6,No,Well,1095.2,Groundnut,1999,Chilli,April,120
Polonnaruwa,6.6,81.25,Laterite,7.1,1.19,17.4,32.7,25.1,29.3,1299,69,8.2,Yes,Well,1037.4,Tea,3052,Groundnut,June,180
Kandy,8.84,80.58,Sandy,6.1,0.84,35.2,40.7,21,29.6,1711,64,7.2,No,Rainfed,175.4,Onion,4042,Groundnut,June,180
Matara,8.98,81.24,Loam,6,1.39,35.7,47.1,47.5,26.4,1560,83,6.7,Yes,Rainfed,987.1,Coconut,4070,Maize,June,120
Matara,6.58,81.52,Loam,6.9,1.21,25.2,45.5,44.2,22.2,1095,62,7.5,Yes,Rainfed,423.6,Onion,1201,Maize,June,110
Hambantota,8.91,80.24,Sandy,6.2,1.5,21.5,32.4,57.4,25.1,1234,78,6.8,No,Well,48.1,Vegetables,2385,Maize,June,110
Matara,9.59,81.33,Clay,6.6,1.75,39.4,23.4,29.4,26.6,1270,64,6,No,Well,625.2,Paddy,2519,Paddy,May,110
Anuradhapura,6.55,79.91,Clay,5.5,1.09,21.5,22.3,23.4,28.1,1525,70,7.7,No,Well,653.1,Chilli,4417,Paddy,May,120
Ratnapura,8.91,81.51,Clay,5.6,1.95,31.3,37.3,30.4,27.3,1815,70,8.5,No,River,703.4,Maize,3309,Tea,October,80
Nuwara_Eliya,8.66,81.04,Loam,6.6,1.4,44,39.3,20.8,24.7,1926,64,6.5,Yes,River,1058.7,Paddy,2307,Tea,October,90
Kandy,7.75,81.46,Silty,6.6,1.5,19.4,45.5,21.4,23.2,1725,83,8.4,No,River,466.7,Coconut,896,Tea,October,120
Ratnapura,6.13,79.8,Loam,7,1.58,43.2,28.8,56.6,22,1827,60,6.7,Yes,Rainfed,476.3,Tea,2892,Tea,October,80
Kurunegala,6.19,80.12,Silty,5.8,1.57,20.5,25,34.1,28.3,1417,82,6.6,No,Rainfed,95.5,Onion,1155,Paddy,May,365
Polonnaruwa,9.22,80.54,Sandy,6.5,1.36,32,31.4,36.4,27.7,1329,82,5.1,Yes,Well,1031.8,Paddy,3887,Maize,June,120
Anuradhapura,9.76,80.52,Laterite,5.9,1.26,26.3,30.6,20.7,28.2,1332,68,7.8,Yes,River,853.9,Vegetables,3584,Vegetables,March,150
